Module,Fonction/Hook,Rôle,Dépendances Clés,Couplage,Complexité Approx,Tests Présents,Notes
src/hooks/useAuth.ts,useAuth,"Auth Firebase, gestion session, profil utilisateur","firebase/auth, useFirebaseError",Moyen (hooks),Moyenne (150 LOC),Oui (Jest simple),"Cookie auth pour middleware, magic link supporté"
src/hooks/useFirestore.ts,useFirestore,"CRUD Firestore générique, real-time sync","firebase/firestore, onSnapshot",Faible (générique),Élevée (200+ LOC),Non (CRITIQUE),"Hook central, utilisé partout, 0% coverage!"
src/hooks/useEnergyBalance.ts,useEnergyBalance,Calcul balance énergétique quotidienne,"useFirestore (repas, entrainements)",Moyen,Moyenne,Oui (Jest avancé 100%),"Calculs TDEE - BMR - intake - outtake"
src/hooks/useChallenges.ts,useChallenges,Gestion challenges utilisateur,"useFirestore, challengeTracker",Moyen,Moyenne,Oui (Jest simple),50 challenges prédéfinis
src/hooks/useChallengeTracker.ts,useChallengeTracker,Tracking automatique progression challenges,"Firestore, challengeTracking lib",Élevé,Élevée (complexe),Oui (Jest avancé 83.57%),Système de gamification
src/hooks/useExportData.ts,useExportData,Export données CSV/PDF/Excel,"jspdf, exceljs, papaparse",Faible,Moyenne,Oui (Jest avancé 99.31%),"Dynamic imports, 15 tests"
src/hooks/useNotifications.ts,useNotifications,Firebase Cloud Messaging (FCM),"firebase/messaging, Notification API",Moyen,Élevée,Oui (Jest simple),VAPID key configurée
src/hooks/useInvites.ts,useInvites,Système invitations coach-athlète,"Firestore (invites, users)",Moyen,Faible,Oui (Jest simple),Codes invitation uniques
src/hooks/useCoachAnalytics.ts,useCoachAnalytics,Analytics basiques coach (deprecated?),Firestore,Faible,Faible,Oui (Jest simple),"Voir useCoachRealAnalytics, duplication?"
src/hooks/useCoachRealAnalytics.ts,useCoachRealAnalytics,Analytics détaillées coach (production),Firestore (35 console.log!),Élevé,Très élevée,Non,"CRITIQUE: 35 console.log, 19 eslint-disable, 35 any!"
src/hooks/useCoachAnalyticsEnhanced.ts,useCoachAnalyticsEnhanced,Analytics enrichies coach (3ème version?),Firestore,Élevé,Très élevée,Non,"DUPLICATION: 3 hooks analytics coach, à consolider"
src/hooks/usePWA.ts,usePWA,Gestion PWA (install prompt),Navigator API,Faible,Faible,Non,Détection support PWA
src/hooks/useNutritionImport.ts,useNutritionImport,Import fichiers nutrition (CSV/Excel),"exceljs, papaparse",Moyen,Moyenne,Non,Parsing formats multiples
src/hooks/useQuickActions.ts,useQuickActions,Quick actions modals (mobile),useState,Faible,Faible,Non,"QuickMeal, QuickTraining, QuickWeight"
src/hooks/useFirebaseError.ts,useFirebaseError,Gestion erreurs Firebase centralisée,firebase-errors.ts,Faible,Faible,Non,Messages d'erreur traduits FR
